GSE_ID,GSM_ID,GPL,title,MTHFR,TYMS,MTR,MTRR,CYP1A1,GSTM1,GSTT1,GSTP1,TLR2,TLR4,TLR7,TLR9,STAT4
GSE10325,GSM260917,GPL96,SLE CD19 B cells 2,17.866666666666667,441.3,377.2,363.29999999999995,22.0,179.95,7.4,535.1,146.1,43.1,426.7,-1,144.5
GSE10325,GSM260918,GPL96,SLE myeloid cells 2,14.833333333333334,39.1,178.0,211.25,3.5,111.05000000000001,7.7,1647.9,3742.9,507.8,657.3,-1,97.9
GSE10325,GSM260919,GPL96,SLE CD4 T cells 3,19.5,196.6,480.4,344.95,36.6,378.6,42.2,216.5,75.1,34.5,323.5,-1,1068.9
GSE10325,GSM260920,GPL96,SLE CD19 B cells 3,16.633333333333336,240.75,476.6,325.95,50.9,244.85000000000002,23.1,346.1,130.5,86.7,1527.3,-1,167.6
GSE10325,GSM260921,GPL96,SLE myeloid cells 3,15.633333333333333,86.1,166.9,135.35000000000002,19.5,238.55,59.6,1099.2,2392.9,345.9,1009.0,-1,156.4
GSE10325,GSM260922,GPL96,SLE CD4 T cells 4,12.466666666666667,74.95,417.0,304.0,70.5,403.25,6.8,285.0,21.9,61.2,6.9,-1,808.1
GSE10325,GSM260923,GPL96,SLE CD19 B cells 4,20.166666666666668,27.35,372.9,180.39999999999998,20.6,265.5,140.1,896.5,106.9,26.4,48.0,-1,648.6
GSE10325,GSM260924,GPL96,SLE myeloid cells 4,14.433333333333332,76.15,121.5,102.65,79.4,171.7,86.5,447.0,3222.3,274.9,40.1,-1,289.3
GSE10325,GSM260925,GPL96,SLE CD4 T cells 5,28.266666666666666,44.85,485.6,554.7,42.2,310.5,8.6,334.2,33.5,22.8,4.5,-1,1261.6
GSE10325,GSM260926,GPL96,SLE CD19 B cells 5,23.7,126.55000000000001,533.0,384.25,47.5,206.4,14.4,469.8,206.1,90.9,736.6,-1,152.7
GSE10325,GSM260927,GPL96,SLE CD4 T cells 6,7.133333333333333,138.65,512.1,360.6,22.0,484.70000000000005,12.7,319.7,76.7,27.6,3.5,-1,1251.2
GSE10325,GSM260928,GPL96,SLE CD19 B cells 6,11.700000000000001,213.85,488.4,263.35,36.0,317.4,11.1,496.7,87.3,43.8,95.3,-1,1542.1
GSE10325,GSM260929,GPL96,SLE myeloid cells 6,14.4,43.1,229.1,175.2,39.0,339.6,6.2,1087.1,2724.3,504.0,191.0,-1,147.0
GSE10325,GSM260930,GPL96,SLE CD4 T cells 7,15.500000000000002,161.15,588.1,362.15,18.9,230.05,81.1,278.5,48.0,6.8,8.1,-1,980.4
GSE10325,GSM260931,GPL96,SLE CD19 B cells 7,46.900000000000006,396.5,421.6,354.25,22.7,139.75,77.2,504.2,70.8,29.6,576.2,-1,80.6
GSE10325,GSM260932,GPL96,SLE myeloid cells 7,107.13333333333333,96.85,562.0,487.0,64.7,337.45000000000005,138.3,1319.8,2193.5,134.8,329.3,-1,194.3
GSE10325,GSM260933,GPL96,SLE CD4 T cells 8,16.066666666666666,136.7,516.2,305.95,26.1,219.95,5.1,236.2,165.5,12.4,22.2,-1,1446.5
GSE10325,GSM260934,GPL96,SLE CD19 B cells 8,30.200000000000003,253.0,463.3,253.54999999999998,20.0,177.95,3.8,311.2,133.5,40.8,439.1,-1,99.1
GSE10325,GSM260935,GPL96,SLE myeloid cells 8,61.63333333333335,128.45,522.4,451.70000000000005,44.7,364.55,12.3,802.8,6076.3,439.7,1252.9,-1,97.2
GSE10325,GSM260936,GPL96,SLE CD4 T cells 9,16.26666666666667,223.6,454.0,407.25,30.1,211.85000000000002,4.1,144.1,117.8,28.9,290.2,-1,1606.6
GSE10325,GSM260937,GPL96,SLE CD19 B cells 9,43.26666666666667,1692.4,344.2,317.3,11.0,212.25,4.5,494.1,160.9,87.9,895.9,-1,325.2
GSE10325,GSM260938,GPL96,SLE myeloid cells 9,26.7,702.65,442.9,388.65,33.4,260.95,6.0,742.6,6498.7,1628.0,1282.1,-1,259.5
GSE10325,GSM260939,GPL96,SLE CD4 T cells 10,17.833333333333336,1036.1499999999999,477.1,398.5,10.0,118.9,5.3,240.3,87.3,26.3,43.7,-1,777.0
GSE10325,GSM260940,GPL96,SLE CD19 B cells 10,30.799999999999997,762.5,451.8,328.9,36.3,126.1,5.1,294.0,148.1,35.3,750.3,-1,273.9
GSE10325,GSM260941,GPL96,SLE myeloid cells 10,38.699999999999996,120.05,362.4,455.75,22.8,224.4,15.6,1062.4,5045.8,2099.9,1979.2,-1,180.7
GSE10325,GSM260942,GPL96,SLE CD4 T cells 11,14.799999999999999,268.15,667.3,338.55,8.2,213.10000000000002,4.6,157.3,100.4,8.0,75.0,-1,1123.2
GSE10325,GSM260943,GPL96,SLE CD19 B cells 11,34.9,1110.55,286.9,329.1,38.3,270.65,9.0,424.5,88.4,53.1,624.4,-1,96.0
GSE10325,GSM260944,GPL96,SLE myeloid cells 11,60.26666666666667,88.9,609.1,334.0,32.8,357.35,28.0,735.8,5367.9,2183.1,1368.0,-1,153.9
GSE10325,GSM260945,GPL96,SLE CD4 T cells 12,7.8999999999999995,106.3,753.3,582.2,11.3,202.0,31.0,174.5,105.3,4.9,38.5,-1,1758.2
GSE10325,GSM260946,GPL96,SLE CD19 B cells 12,26.0,609.8000000000001,510.9,280.25,17.1,187.6,29.7,461.1,94.1,26.8,803.7,-1,156.1
GSE10325,GSM260947,GPL96,SLE myeloid cells 12,19.7,26.15,214.2,217.65,21.3,124.25,13.6,690.2,3374.3,814.8,791.3,-1,53.1
